Id,House name,House place,House price,House introduction,room_count,min_area,max_area,avg_area,property_type,price_flag
48,祥新·如澜邸,西湖,28100.0,3室/4室/建筑面积：89-175㎡,3,89.0,175.0,132.0,住宅,正常
49,绿城·樾鸣春晓园,余杭,23100.0,3室/4室/建筑面积：105-125㎡,3,105.0,125.0,115.0,住宅,正常
50,中融蓝城Co.C理想城,西湖,28000.0,商业/建筑面积：29-51㎡,商业,29.0,51.0,40.0,商业,正常
51,地铁越秀·星缦云渚,余杭,29090.0,3室/4室/建筑面积：97-141㎡,3,97.0,141.0,119.0,住宅,正常
52,东海闲湖城·栖霞湾,余杭,19198.0,3室/4室/建筑面积：98-138㎡,3,98.0,138.0,118.0,住宅,正常
53,西投绿城春树云筑公寓,西湖,29800.0,商业/建筑面积：33-76㎡,商业,33.0,76.0,54.5,商业,正常
54,滨江越秀天澜美境,上城,51000.0,4室/5室/建筑面积：178-248㎡,4,178.0,248.0,213.0,住宅,正常
55,宁望府,萧山,33500.0,3室/4室/建筑面积：108-142㎡,3,108.0,142.0,125.0,住宅,正常
56,运晓花映里,拱墅,30000.0,3室/建筑面积：96-130㎡,3,96.0,130.0,113.0,住宅,正常
57,中天翡玥府,钱塘,18000.0,3室/建筑面积：86-101㎡,3,86.0,101.0,93.5,住宅,正常
58,三迪雅颂美筑,钱塘,14600.0,3室/4室/建筑面积：88-112㎡,3,88.0,112.0,100.0,住宅,正常
59,兴耀湖境观岚湾,钱塘,21300.0,3室/4室/建筑面积：89-139㎡,3,89.0,139.0,114.0,住宅,正常
60,西房·宸鹭晴语轩,拱墅,47000.0,4室/建筑面积：139-176㎡,4,139.0,176.0,157.5,住宅,正常
61,馥源庭,拱墅,55363.0,3室/4室/6室/建筑面积：110-230㎡,3,110.0,230.0,170.0,住宅,正常
62,万象上东,上城,38000.0,2室/3室/4室/建筑面积：84-150㎡,2,84.0,150.0,117.0,住宅,正常
63,ONE53,上城,90000.0,商业/建筑面积：244-438㎡,商业,244.0,438.0,341.0,商业,正常
64,杭州国际金融中心,上城,57215.0,4室/建筑面积：158-320㎡,4,158.0,320.0,239.0,住宅,正常
65,晨语汀澜里,临平,23600.0,3室/4室/建筑面积：99-139㎡,3,99.0,139.0,119.0,住宅,正常
66,亚奥城,萧山,35000.0,商业/建筑面积：42-145㎡,商业,42.0,145.0,93.5,商业,正常
67,融创融耀之城,临平,24000.0,3室/4室/建筑面积：89-125㎡,3,89.0,125.0,107.0,住宅,正常
68,湖翠晓印轩,萧山,502.0,建筑面积：151637㎡,,,,,住宅,住宅价格异常低
69,杭曜置地中心,拱墅,46200.0,3室/4室/建筑面积：118-179㎡,3,118.0,179.0,148.5,住宅,正常
70,东湖云杉郡,临平,19000.0,商业/建筑面积：40-75㎡,商业,40.0,75.0,57.5,商业,正常
71,杭州新天地,拱墅,26000.0,商业/建筑面积：40-136㎡,商业,40.0,136.0,88.0,商业,正常
72,保亿湖珀润园,萧山,26845.0,4室/建筑面积：162-171㎡,4,162.0,171.0,166.5,住宅,正常
73,之彩城,萧山,17000.0,2室/3室/4室/建筑面积：97-129㎡,2,97.0,129.0,113.0,住宅,正常
74,杭房众安·未珂宸铭府,余杭,24110.0,3室/4室/建筑面积：108-138㎡,3,108.0,138.0,123.0,住宅,正常
75,广宇·锦上云澜,钱塘,27500.0,3室/4室/建筑面积：99-160㎡,3,99.0,160.0,129.5,住宅,正常
76,咏翠芳华轩,临平,22600.0,3室/4室/建筑面积：98-139㎡,3,98.0,139.0,118.5,住宅,正常
77,澳海云樾赋,富阳,11300.0,2室/3室/建筑面积：81.69-113㎡,2,81.69,113.0,97.345,住宅,正常
78,绿城卓越傲旋城公寓,滨江,33000.0,商业/建筑面积：57-312㎡,商业,57.0,312.0,184.5,商业,正常
79,星创雅望居,萧山,25600.0,3室/4室/建筑面积：104-139㎡,3,104.0,139.0,121.5,住宅,正常
80,百郦玲珑府,上城,44200.0,3室/4室/别墅/建筑面积：95-180㎡,3,95.0,180.0,137.5,别墅,正常
81,和悦清晖园,余杭,612.0,别墅/建筑面积：190-240㎡,别墅,190.0,240.0,215.0,别墅,正常
82,中骏鼎湖未来云城,临平,28500.0,3室/4室/建筑面积：108-190㎡,3,108.0,190.0,149.0,住宅,正常
83,中建潮阅尚境,临平,26600.0,3室/4室/建筑面积：98-139㎡,3,98.0,139.0,118.5,住宅,正常
84,绿城卓越傲旋城,滨江,47000.0,1室/2室/3室/建筑面积：90-90㎡,1,90.0,90.0,90.0,住宅,正常
85,越秀滨江中豪翠宸里,余杭,31200.0,建筑面积：208700㎡,,,,,住宅,正常
86,东傲城大平层,钱塘,13000.0,商业/建筑面积：300㎡,商业,,,,商业,正常
87,苏荷汇,拱墅,33000.0,商业/建筑面积：46-140㎡,商业,46.0,140.0,93.0,商业,正常
88,荣盛江荣府,滨江,38000.0,4室/建筑面积：119-129㎡,4,119.0,129.0,124.0,住宅,正常
89,绿荷叠翠轩,临平,22600.0,3室/4室/建筑面积：98-139㎡,3,98.0,139.0,118.5,住宅,正常
90,御湖城,萧山,21000.0,商业/建筑面积：84-210㎡,商业,84.0,210.0,147.0,商业,正常
91,如沐清晖城,临安,22500.0,2室/3室/别墅/建筑面积：97-195㎡,2,97.0,195.0,146.0,别墅,正常
92,月映星语园,临平,24000.0,3室/4室/建筑面积：100-139㎡,3,100.0,139.0,119.5,住宅,正常
93,洺川名著园,西湖,28200.0,4室/建筑面积：155-215㎡,4,155.0,215.0,185.0,住宅,正常
94,山澜桂语轩,萧山,32000.0,3室/4室/建筑面积：89-119.17㎡,3,89.0,119.17,104.08500000000001,住宅,正常
95,江河鸣翠公寓,上城,80000.0,建筑面积：132400㎡,,,,,住宅,正常
96,运晓花望府,拱墅,29500.0,3室/4室/建筑面积：100-127㎡,3,100.0,127.0,113.5,住宅,正常
97,濋玥府,萧山,30000.0,3室/4室/建筑面积：95-123㎡,3,95.0,123.0,109.0,住宅,正常
98,大家中天·春樾星宸,拱墅,33200.0,3室/4室/建筑面积：110-137㎡,3,110.0,137.0,123.5,住宅,正常
99,绿城·三江明月,萧山,22000.0,商业/建筑面积：36-43㎡,商业,36.0,43.0,39.5,商业,正常
100,中海河映云集,拱墅,38000.0,3室/4室/建筑面积：107-147㎡,3,107.0,147.0,127.0,住宅,正常
101,御滨府御映,滨江,40600.0,建筑面积：91459㎡,,,,,住宅,正常
102,海潮望月城·潮印,上城,66000.0,建筑面积：296000㎡,,,,,住宅,正常
103,瑞源邸,富阳,20500.0,3室/4室/建筑面积：93-121㎡,3,93.0,121.0,107.0,住宅,正常
104,秦望府,富阳,29800.0,3室/4室/建筑面积：102-350㎡,3,102.0,350.0,226.0,住宅,正常
105,沥瑞府,萧山,14500.0,3室/4室/建筑面积：100-134㎡,3,100.0,134.0,117.0,住宅,正常
106,青溪美庐,临安,12500.0,1室/2室/建筑面积：41-75㎡,1,41.0,75.0,58.0,住宅,正常
107,世茂栖棠誉湾,滨江,45836.0,4室/建筑面积：139㎡,4,,,,住宅,正常
108,庆樾上府,拱墅,55000.0,4室/5室/建筑面积：140-208㎡,4,140.0,208.0,174.0,住宅,正常
109,金帝·湖望庐,萧山,35690.0,4室/建筑面积：126-139㎡,4,126.0,139.0,132.5,住宅,正常
110,西房·宸鹭香舍,拱墅,47000.0,4室/5室/建筑面积：139-275㎡,4,139.0,275.0,207.0,住宅,正常
111,金成滨玺云著邸,滨江,38000.0,3室/4室/建筑面积：104-131㎡,3,104.0,131.0,117.5,住宅,正常
112,中天坤和大家·湖境天宸,上城,32900.0,3室/4室/建筑面积：110-139㎡,3,110.0,139.0,124.5,住宅,正常
113,云彩之城,萧山,25600.0,4室/建筑面积：139㎡,4,,,,住宅,正常
114,蓝城恒伟江南山庄,临安,15000.0,3室/4室/别墅/建筑面积：89-287㎡,3,89.0,287.0,188.0,别墅,正常
115,庞鑫沁耀府,萧山,17800.0,3室/4室/建筑面积：95-138㎡,3,95.0,138.0,116.5,住宅,正常
116,望斓翠印府,上城,44400.0,建筑面积：78778㎡,,,,,住宅,正常
117,翠著邱山里,临平,29780.0,4室/建筑面积：139-189㎡,4,139.0,189.0,164.0,住宅,正常
118,听悦雅庭,萧山,30000.0,3室/4室/建筑面积：89-110㎡,3,89.0,110.0,99.5,住宅,正常
119,赞成和风,临平,23600.0,3室/4室/建筑面积：105-137㎡,3,105.0,137.0,121.0,住宅,正常
120,万科白鹭郡西,余杭,1484.0,别墅/建筑面积：265-1242㎡,别墅,265.0,1242.0,753.5,别墅,正常
121,泽翠居,萧山,17730.0,3室/建筑面积：89-98㎡,3,89.0,98.0,93.5,住宅,正常
122,樟源府,萧山,13700.0,3室/4室/建筑面积：89-121㎡,3,89.0,121.0,105.0,住宅,正常
123,祥生湛景江山云樾府,钱塘,26200.0,3室/4室/建筑面积：88-128㎡,3,88.0,128.0,108.0,住宅,正常
124,春江御园,富阳,600.0,别墅/建筑面积：170-300㎡,别墅,170.0,300.0,235.0,别墅,正常
125,保利·和颂春风里,拱墅,29500.0,3室/4室/建筑面积：107-139㎡,3,107.0,139.0,123.0,住宅,正常
126,绿城吉祥里,拱墅,35000.0,商业/建筑面积：310㎡,商业,,,,商业,正常
127,柏源晶舍,临安,22800.0,1室/3室/4室/建筑面积：42-110㎡,1,42.0,110.0,76.0,住宅,正常
128,绿地柏澜晶舍,临安,298.0,3室/4室/别墅/建筑面积：89-202㎡,3,89.0,202.0,145.5,别墅,别墅价格异常低
129,保利和著风华里,拱墅,33200.0,3室/4室/建筑面积：102-139㎡,3,102.0,139.0,120.5,住宅,正常
130,华昭府,余杭,20500.0,3室/4室/建筑面积：111-256㎡,3,111.0,256.0,183.5,住宅,正常
131,启航城,余杭,20000.0,3室/4室/建筑面积：97-131㎡,3,97.0,131.0,114.0,住宅,正常
132,华景川科大湖沁宸园,临平,19800.0,3室/4室/建筑面积：97.65-118㎡,3,97.65,118.0,107.825,住宅,正常
133,万科江斓映象府,滨江,49300.0,4室/5室/建筑面积：147-199㎡,4,147.0,199.0,173.0,住宅,正常
134,荷禹宸府,临平,22600.0,3室/4室/建筑面积：96-127㎡,3,96.0,127.0,111.5,住宅,正常
135,文宸望府,萧山,21400.0,3室/4室/建筑面积：98-118㎡,3,98.0,118.0,108.0,住宅,正常
136,春境前潮府,萧山,18000.0,3室/4室/建筑面积：89-137㎡,3,89.0,137.0,113.0,住宅,正常
137,华景川樾臻府,萧山,13000.0,3室/4室/建筑面积：89-116㎡,3,89.0,116.0,102.5,住宅,正常
138,绿城桂语新月,富阳,22000.0,3室/4室/建筑面积：98-138㎡,3,98.0,138.0,118.0,住宅,正常
139,能建城发瞰奥府,萧山,34000.0,3室/4室/建筑面积：100-138㎡,3,100.0,138.0,119.0,住宅,正常
140,拥奥府,萧山,42900.0,3室/4室/建筑面积：98-126㎡,3,98.0,126.0,112.0,住宅,正常
141,滨江澄虹府,萧山,46200.0,4室/5室/建筑面积：132-236㎡,4,132.0,236.0,184.0,住宅,正常
142,滨运锦上湾,拱墅,32333.0,未知,,,,,住宅,正常
143,滨江春天阳光名城,钱塘,18700.0,3室/4室/5室/建筑面积：89-156㎡,3,89.0,156.0,122.5,住宅,正常
144,湖翠里,钱塘,38300.0,4室/建筑面积：130-166㎡,4,130.0,166.0,148.0,住宅,正常
145,翠语彩虹里,西湖,28600.0,3室/4室/建筑面积：109-139㎡,3,109.0,139.0,124.0,住宅,正常
146,绿城晓月和风,滨江,40000.0,3室/4室/建筑面积：110-165㎡,3,110.0,165.0,137.5,住宅,正常
147,杭州春江潮鸣,萧山,19856.0,4室/7室/建筑面积：300-870㎡,4,300.0,870.0,585.0,住宅,正常
148,蝶翠迎宾府,临平,26600.0,3室/4室/建筑面积：96-139㎡,3,96.0,139.0,117.5,住宅,正常
149,大家中天云翠金澜府,上城,44400.0,3室/4室/建筑面积：110-168㎡,3,110.0,168.0,139.0,住宅,正常
150,春咏风荷里,钱塘,27500.0,3室/4室/建筑面积：99-121㎡,3,99.0,121.0,110.0,住宅,正常
151,滨江旭辉滨旭府,萧山,25600.0,3室/4室/建筑面积：89-110㎡,3,89.0,110.0,99.5,住宅,正常
152,绿城·春境东来院,临平,33600.0,4室/5室/建筑面积：122-170㎡,4,122.0,170.0,146.0,住宅,正常
153,龙井院子,西湖,600.0,别墅/建筑面积：138-160㎡,别墅,138.0,160.0,149.0,别墅,正常
154,万科星图光年轩,余杭,29100.0,3室/4室/建筑面积：105-139㎡,3,105.0,139.0,122.0,住宅,正常
155,融创·杭曜之城,钱塘,30000.0,3室/4室/建筑面积：105-142㎡,3,105.0,142.0,123.5,住宅,正常
156,禹洲泊朗廷,萧山,26800.0,2室/3室/4室/建筑面积：81-148㎡,2,81.0,148.0,114.5,住宅,正常
157,华发联发悦望荟,拱墅,33200.0,3室/4室/建筑面积：103-139㎡,3,103.0,139.0,121.0,住宅,正常
158,融创森与海之城,萧山,14000.0,2室/3室/4室/5室/别墅/建筑面积：88-166㎡,2,88.0,166.0,127.0,别墅,正常
159,滨江中豪枫秀云庭,余杭,36100.0,4室/5室/建筑面积：120-190㎡,4,120.0,190.0,155.0,住宅,正常
160,金帝·咏颂轩,萧山,34198.0,3室/4室/建筑面积：107-125㎡,3,107.0,125.0,116.0,住宅,正常
161,德信金科泊岸江宸轩,萧山,21400.0,3室/建筑面积：89.22-107.39㎡,3,89.22,107.39,98.305,住宅,正常
162,叠潮雅庭,萧山,30860.0,4室/5室/建筑面积：118-162㎡,4,118.0,162.0,140.0,住宅,正常
163,联发臻和雅颂府,拱墅,48100.0,4室/建筑面积：135-150㎡,4,135.0,150.0,142.5,住宅,正常
164,中天海威云咏汀洲,临平,26600.0,3室/4室/建筑面积：98-130㎡,3,98.0,130.0,114.0,住宅,正常
165,萧澜隐翠轩,萧山,30000.0,3室/4室/建筑面积：99-127㎡,3,99.0,127.0,113.0,住宅,正常
166,星创云珹府,余杭,20500.0,3室/4室/建筑面积：106-152㎡,3,106.0,152.0,129.0,住宅,正常
167,滨江大家招商·锦翠金宸府,拱墅,34000.0,3室/4室/建筑面积：99-138㎡,3,99.0,138.0,118.5,住宅,正常
168,祥新·如澜邸,西湖,28100.0,3室/4室/建筑面积：89-175㎡,3,89.0,175.0,132.0,住宅,正常
169,绿城·樾鸣春晓园,余杭,23100.0,3室/4室/建筑面积：105-125㎡,3,105.0,125.0,115.0,住宅,正常
170,中融蓝城Co.C理想城,西湖,28000.0,商业/建筑面积：29-51㎡,商业,29.0,51.0,40.0,商业,正常
171,地铁越秀·星缦云渚,余杭,29090.0,3室/4室/建筑面积：97-141㎡,3,97.0,141.0,119.0,住宅,正常
172,东海闲湖城·栖霞湾,余杭,19198.0,3室/4室/建筑面积：98-138㎡,3,98.0,138.0,118.0,住宅,正常
173,西投绿城春树云筑公寓,西湖,29800.0,商业/建筑面积：33-76㎡,商业,33.0,76.0,54.5,商业,正常
174,滨江越秀天澜美境,上城,51000.0,4室/5室/建筑面积：178-248㎡,4,178.0,248.0,213.0,住宅,正常
175,宁望府,萧山,33500.0,3室/4室/建筑面积：108-142㎡,3,108.0,142.0,125.0,住宅,正常
176,运晓花映里,拱墅,30000.0,3室/建筑面积：96-130㎡,3,96.0,130.0,113.0,住宅,正常
177,中天翡玥府,钱塘,18000.0,3室/建筑面积：86-101㎡,3,86.0,101.0,93.5,住宅,正常
178,三迪雅颂美筑,钱塘,14600.0,3室/4室/建筑面积：88-112㎡,3,88.0,112.0,100.0,住宅,正常
179,兴耀湖境观岚湾,钱塘,21300.0,3室/4室/建筑面积：89-139㎡,3,89.0,139.0,114.0,住宅,正常
180,西房·宸鹭晴语轩,拱墅,47000.0,4室/建筑面积：139-176㎡,4,139.0,176.0,157.5,住宅,正常
181,滨江同协金座,上城,33000.0,商业/建筑面积：45-73㎡,商业,45.0,73.0,59.0,商业,正常
182,澳海百合云泽赋,富阳,12000.0,2室/3室/4室/建筑面积：80.97-127.02㎡,2,80.97,127.02,103.995,住宅,正常
183,临栖云府,临安,18543.0,3室/4室/别墅/建筑面积：96-140㎡,3,96.0,140.0,118.0,别墅,正常
184,揽月臻翠府·臻橒,上城,30000.0,建筑面积：144539㎡,,,,,住宅,正常
185,朗诗溪涧雅庐,临安,14000.0,2室/3室/4室/建筑面积：88-173㎡,2,88.0,173.0,130.5,住宅,正常
186,滨汇府,富阳,25000.0,4室/建筑面积：148-165㎡,4,148.0,165.0,156.5,住宅,正常
187,驭远·久鸣府,钱塘,533.0,4室/别墅/建筑面积：142.81-204㎡,4,142.81,204.0,173.405,别墅,正常
188,圣奥晓风望月府,临平,27720.0,4室/建筑面积：127-139㎡,4,127.0,139.0,133.0,住宅,正常
189,祥生宸光悦,富阳,21500.0,3室/4室/建筑面积：98-118㎡,3,98.0,118.0,108.0,住宅,正常
190,国芳中心SOHO,上城,33000.0,商业/建筑面积：53-80㎡,商业,53.0,80.0,66.5,商业,正常
191,广瑞沁园,杭州周边,7780.0,3室/4室/建筑面积：77-126㎡,3,77.0,126.0,101.5,住宅,正常
192,宝业凤樾上筑,萧山,20000.0,3室/4室/建筑面积：89-128㎡,3,89.0,128.0,108.5,住宅,正常
193,绿城·雲溪里,余杭,783.0,别墅/建筑面积：280-350㎡,别墅,280.0,350.0,315.0,别墅,正常
194,中天珺楠府,临安,23000.0,3室/建筑面积：99-99㎡,3,99.0,99.0,99.0,住宅,正常
195,大华峰汇华城,富阳,22000.0,3室/4室/建筑面积：85-117㎡,3,85.0,117.0,101.0,住宅,正常
196,云水山居,富阳,530.0,3室/4室/5室/别墅/建筑面积：134.91-648㎡,3,134.91,648.0,391.455,别墅,正常
197,滨江棠前嘉座,拱墅,41660.0,建筑面积：72095㎡,,,,,住宅,正常
198,城西宝龙广场,余杭,28000.0,商业/建筑面积：30-59㎡,商业,30.0,59.0,44.5,商业,正常
199,西投滨江云栖名筑,西湖,37000.0,商业/建筑面积：300-300㎡,商业,300.0,300.0,300.0,商业,正常
200,亿联之江心月,西湖,30000.0,建筑面积：58622㎡,,,,,住宅,正常
201,杭州国际办公中心·潮悦,萧山,46000.0,商业/建筑面积：60-60㎡,商业,60.0,60.0,60.0,商业,正常
202,华博江南首府,桐庐县,11000.0,3室/4室/建筑面积：88-108㎡,3,88.0,108.0,98.0,住宅,正常
203,宋都时间名座,临平,20800.0,商业/建筑面积：39-61㎡,商业,39.0,61.0,50.0,商业,正常
204,杭珹未来中心商业,余杭,55000.0,建筑面积：1019000㎡,,,,,住宅,正常
205,镜象西湖公寓,西湖,33000.0,商业/建筑面积：50-51㎡,商业,50.0,51.0,50.5,商业,正常
206,湖印宸山,临平,850.0,别墅/建筑面积：158-315㎡,别墅,158.0,315.0,236.5,别墅,正常
207,兴耀龙湖天泱雅筑,拱墅,35000.0,商业/建筑面积：315-325㎡,商业,315.0,325.0,320.0,商业,正常
208,绿城江上臻园,富阳,25000.0,3室/4室/建筑面积：100-144㎡,3,100.0,144.0,122.0,住宅,正常
209,中天大家宸澜学府,临安,22800.0,2室/3室/建筑面积：69-89㎡,2,69.0,89.0,79.0,住宅,正常
210,蓝城·云和里,西湖,35000.0,建筑面积：46317㎡,,,,,住宅,正常
211,东部之星,钱塘,18000.0,商业/建筑面积：58㎡,商业,,,,商业,正常
212,韵瑚兰庭,淳安县,6900.0,3室/建筑面积：89-110㎡,3,89.0,110.0,99.5,住宅,正常
213,滨江千岛湖城市之星,淳安县,16000.0,3室/4室/建筑面积：98-118㎡,3,98.0,118.0,108.0,住宅,正常
214,誉满轩,萧山,15000.0,商业/建筑面积：100-302㎡,商业,100.0,302.0,201.0,商业,正常
215,融创运河印,拱墅,32000.0,商业/建筑面积：40-114㎡,商业,40.0,114.0,77.0,商业,正常
216,杭房·湖著观邸,富阳,25000.0,3室/4室/建筑面积：109-135㎡,3,109.0,135.0,122.0,住宅,正常
217,富春泉水湾,富阳,1000.0,别墅/建筑面积：207-249㎡,别墅,207.0,249.0,228.0,别墅,正常
218,杭州云山院子,富阳,540.0,别墅/建筑面积：165-165㎡,别墅,165.0,165.0,165.0,别墅,正常
219,中铁建晴萃府,富阳,18800.0,3室/4室/建筑面积：89-128㎡,3,89.0,128.0,108.5,住宅,正常
220,余交蓝城·湖印晓庐,余杭,15200.0,3室/建筑面积：87-102㎡,3,87.0,102.0,94.5,住宅,正常
221,银泰仙女湖,萧山,850.0,别墅/建筑面积：220-310㎡,别墅,220.0,310.0,265.0,别墅,正常
222,中冶锦绣公馆公寓,西湖,60000.0,商业/建筑面积：118-273㎡,商业,118.0,273.0,195.5,商业,正常
223,开元广场铂雅公馆,萧山,23000.0,商业/建筑面积：55-97㎡,商业,55.0,97.0,76.0,商业,正常
224,建发天悦云庐,桐庐县,19000.0,3室/4室/别墅/建筑面积：107-243㎡,3,107.0,243.0,175.0,别墅,正常
225,滨江嘉品,桐庐县,20000.0,3室/4室/建筑面积：96-135㎡,3,96.0,135.0,115.5,住宅,正常
226,T-ONE潮博商业中心,萧山,45000.0,建筑面积：450000㎡,,,,,住宅,正常
227,世纪国泰中心,萧山,38000.0,建筑面积：116512㎡,,,,,住宅,正常
228,联发阳光城檀境里,富阳,22000.0,3室/4室/建筑面积：89-119㎡,3,89.0,119.0,104.0,住宅,正常
229,兴合望江中心,上城,60000.0,商业/建筑面积：40-97㎡,商业,40.0,97.0,68.5,商业,正常
230,新力启云府,余杭,24000.0,2室/3室/4室/建筑面积：81-129.84㎡,2,81.0,129.84,105.42,住宅,正常
231,宸颂星街,上城,31500.0,未知,,,,,住宅,正常
232,德信中南江上云起,建德市,14000.0,2室/3室/4室/建筑面积：89-165㎡,2,89.0,165.0,127.0,住宅,正常
233,广宇塘颂,临平,28300.0,建筑面积：47175㎡,,,,,住宅,正常
234,建发缦云,拱墅,45000.0,商业/建筑面积：320㎡,商业,,,,商业,正常
235,千岛湖桂语江南,淳安县,13000.0,3室/建筑面积：95-128㎡,3,95.0,128.0,111.5,住宅,正常
236,理想世纪金座,临平,25000.0,商业/建筑面积：49-72㎡,商业,49.0,72.0,60.5,商业,正常
